ProgramCode,Title,SubmissionDateTime,AcceptedFormat,PresentationType,CompetencyFrameworkBestMatch,ConferenceTheme,Abstract_MARKDOWN,ScispaceParaphrasedAbstract,Presenters,Authors,Co-Authors,PublicationLocation,PosterImageLocation,DOI,PresentationDate,PresentationStart,PresentationDuration,PresentationMaterials,VenueCode,SessionTitle,SessionVideoLocation,CollaborativeNotesLocation,License
indico064,Web Archives for All? Towards Equitable Access to UK Public Sector Web Archives,2024-03-13 13:36:53.777295+00:00,Paper,Shorter on-site presentations of papers,Legal and Social Responsibilities for DP,From document to data,"This paper examines equitable access to UK Public Sector Web Archives, considering their shared duty as publicly funded institutions to ensure access for all users. Through staff interviews, an overview of current practices for describing collections, providing access, and engaging users are analyzed for the first time, revealing significant disparities between institutions and a lack of best practices to address unique challenges in curating and managing access to web archives.

The role of best practice is assessed, finding whilst some alignment with existing standards exists, there is an urgent need for developing best practices based on existing consensus and wider digital preservation frameworks. This approach acknowledges the significant challenges facing web archive practitioners as well as users.

The paper then looks ahead to next steps – highlighting three areas of inequity to urgently address alongside three areas where equitable practices are emerging and require continued community support. This ‘way forward’ begins to redress the power imbalances inherent in information creation and distribution, enabling web archives to fulfil their responsibilities to the public as custodians of their online heritage.","This study analyzes the equitable access to UK Public Sector Web Archives, highlighting the disparities among institutions in collection management and user engagement. It identifies the urgent need for tailored best practices to address these inequities and emphasizes three areas for improvement while recognizing emerging equitable practices that require ongoing community support.",Nicole Hartland,Nicole Hartland,,https://ipres2024.pubpub.org/pub/zyfmucfd/,,https://doi.org/10.21428/5676bf2d.07f4dedf,2024-09-19,11:30,15 minutes,https://zenodo.org/records/13776021,anatomicaltheater,Learning about Web Archiving and Preserving Digital Born Documents,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/0f216093b1c44efb9765c5fd30b0de776ef5b769fd03410182512a1e78a674e5,https://docs.google.com/document/d/1Vwv6zUEo9Ghea51byXz0bIjTsi-y9VwoVMpHc0byzv4/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico065,Game On: Learning Digital Skills Through Collaborative Game Development,2024-03-13 15:27:14.840230+00:00,Workshop,Monday Workshops,Information Technology for DP,Start 2 preserve,"This tutorial is aimed at those who are new to digital preservation (although all skill levels are welcome), and wish to gain more technical skills, particularly in relation to coding. These skills are becoming increasingly important to digital preservation, with “Computer Programming” listed as one of the skill elements in the Digital Preservation Coalition’s (DPC) Competency Framework. For those new to these skills, it can be intimidating and difficult to know where to start. The popularity of the Bits and Bots and BitCurator/DPC Python study groups are evidence of this. The contributors to this tutorial are drawn from the leadership of both programs, and have witnessed first-hand the strong desire for coding skills amongst practitioners. This tutorial aims to be a first step in their coding journey for practitioners who attend.
 
Participants will collaborate in groups to create a game centered around the theme of digital preservation. In the process, they will learn basic coding skills and will finish with their own interactive text based game on a shareable website. Prompts, ideas, templates and sub themes will be provided to help participants create their game. This will also have the secondary benefits of allowing participants to consider digital preservation from a different perspective, and to gain a better understanding of how websites are built and work, knowledge that will help them make more informed preservation decisions about web content.
The collaborative nature of the tutorial on the conference's first day presents an opportunity for participants to kick off iPRES 2024 in a fun and social way, connecting with colleagues worldwide. Sharing experiences in digital preservation often proves to be the most valuable learning experience, and this tutorial is designed to foster such knowledge exchange among participants.
 
**Tutorial outcomes**
By the end of the tutorial, participants will have: 
-Fundamental coding skills 
-Basic knowledge of HTML and CSS 
-Awareness of how tools can be used to develop interactive web content 
-A game they can share and/or continue to develop (further building their skills) 
-Gained a new perspective/level of understanding of digital preservation
-Made new connections with fellow practitioners",,"Ellie O’Leary, Francesca Mackenzie, Lotte Wijsman, Sharon McMeekin, Susanne van den Eijkel","Ellie O’Leary, Francesca Mackenzie, Lotte Wijsman, Sharon McMeekin, Susanne van den Eijkel",,,,,2024-09-16,11:00,3 hours,,artiestenfoyer,,,,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico066,From Floppy to Future: Converting Legacy Media into Digital Archives,2024-03-13 15:31:54.764220+00:00,Tutorial,Interactive formats,Approaches to Preservation,Start 2 preserve,"This is a tutorial by AIDA, a consortium of heritage institutions focused on preserving and providing access to digital private archives. Through collaboration and resource sharing, AIDA develops strategies and solutions for this purpose.

Since the rise of personal computers in the 1980s, vast amounts of data have been stored on digital media like floppy disks, zip disks, and jaz disks. Modern workstations often cannot read them. This threatens data loss for every heritage organisation, from national archives to local historical societies.

Migrating data from outdated to modern storage media is complex, and not all organisations can set up a capture station for different digital media types on their own. They must first locate suitable legacy reading equipment and then connect it to modern workstations. Additionally, they need software to transfer the complete contents of the media to contemporary storage without alterations.

AIDA Capture-Lab
----------------

The AIDA Capture-Lab is operated from the meemoo offices in Ghent and provides an obsolete data carrier capture service available for cultural heritage organisations. The capture lab was founded by AIDA in 2019 as a result of the [Digital Repair Cafe project](https://meemoo.be/en/projects/digital-repair-cafe). By bringing together and sharing resources and knowledge, data transfer is much more efficient and sustainable. All workflows and setups are documented on the [AIDA Capture Lab website](https://automatic-ingest-digital-archives.github.io/Digital-Repair-Cafe/).

RODA-In
-------

We demonstrate the process of using RODA-In to convert digital archival data into Submission Information Packages (SIPs) for ingestion into e-depots.

RODA-In is a free and open-source tool which creates SIPs from local files and folders and offers features such as:
- creating, loading, and editing classification schemas;
- automatic association of files/folders and metadata with SIP;
- definition of metadata templates;
- support for various metadata formats (EAD, DC, etc.);
- creating SIPs in various formats.

AIDA hands-on
-------------

In this tutorial, we will illustrate how to retrieve data from outdated digital media and package it into SIPs. We encourage active participation by having the audience bring their legacy media to retrieve and package data into a SIP alongside us.",,"Jelle Kleevens, Lode Scheers, Nastasia Vanderperren","Jelle Kleevens, Lode Scheers, Nastasia Vanderperren",,,,,2024-09-19,13:30,1h 30m,,artiestenfoyer,,,https://docs.google.com/document/d/1ZRHGDulUvWl1UDgZ4y9oJI64sRbqr_6dNtDJnQVDZ58/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico068,KEEPERS Registry - A Two-Way Street for E-Journal Preservation: Querying from and reporting to the ISSN KEEPERS Registry to improve e-journal preservation,2024-03-13 17:32:32.823348+00:00,Paper,Longer on-site presentations of papers,Standards and Models,Scaling up,"This paper gives a short overview of Keepers registry and describes two use cases for interacting with the registry: (1) using it to query data and crosscheck it against institutional holdings to prioritize holdings for in-house digital preservation (2) reporting archival holdings back to Keepers Registry to make institutional preservation activities transparent. Though Keepers registry has been available since 2013, few use case descriptions of how to interact with the registry exist. The paper describes the use cases in the context of TIB’s digital preservation processes and outlines solutions found and challenges encountered. It concludes with an outlook to further work for TIB’s workflows as well as for an e-journal preservation registry in general.","This paper provides a brief overview of the Keepers registry and outlines two use cases for engaging with it: querying data for prioritizing in-house digital preservation and reporting archival holdings for transparency. Despite its existence since 2013, detailed use case descriptions are scarce, and the paper discusses TIB's digital preservation methods, challenges faced, and future developments for both TIB's workflows and e-journal preservation registries.",Merle Friedrich,"Merle Friedrich, Micky Lindlar, Peter Eisner",,https://ipres2024.pubpub.org/pub/lrjk5dzx/,,https://doi.org/10.21428/5676bf2d.3f5523cd,2024-09-19,12:00,25 minutes,https://zenodo.org/records/14000856,concerthall,Moving Away From a Central Archive to More Complex Preservation Environments,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/95ca2a083ac641f99b58185549d7c5407e49ac128c9e45efb96d32698a8f023a,https://docs.google.com/document/d/1Hf-VavCLYwGskk3JdDbnPOALZtP2Yd4w2pe_5Evkxg8/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico069,The Future of Preservation: Reinventing the Repository at Harvard,2024-03-13 20:03:11.642500+00:00,Paper,Longer on-site presentations of papers,Information Technology for DP,From document to data,"The DRS Futures project is a multi-year effort to re-envision and revitalize Harvard Library’s preservation environment with expanded functionality, reliability, and sustainability.  The project has followed a three-phased approach of initial open-ended envisioning of an ideal repository, subsequent specification of an achievable repository, and final deployment of an operational repository. This work aims to replace the Digital Repository Service (DRS) that Harvard Library has maintained for 25 years as a highly customized homegrown preservation system. Although subject to continual enhancement over time, the DRS has now reached the effective limits of its conceptual design and operational capacity and needs to go through a generational modernization. The Library set a high benchmark for project success in terms of ten aspirational goals for support of “any” content, conditions, users, and uses.  In a departure from traditional enterprise procurement practice, the project also adopted a framework of ten “radical” transformative work principles. This framework and the insights gained from Harvard's initiative provide useful examples for other institutions considering similar programmatic change.","The DRS Futures project is a long-term initiative aimed at modernizing Harvard Library’s preservation system, which has been in place for 25 years, to enhance its functionality and sustainability. By following a structured three-phased approach and setting ambitious goals, the project serves as a valuable model for other institutions seeking transformative changes.",Stephen Abrams,Stephen Abrams,"Julianna Barrera-Gomez, Michelle Gallinger, Miriam Leigh, Vitaly Zakuta",https://ipres2024.pubpub.org/pub/qcch6erj/,,https://doi.org/10.21428/5676bf2d.165dfe06,2024-09-19,14:30,25 minutes,https://zenodo.org/records/13759631,concerthall,The Constraints When Scaling Up Preservation Efforts,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/fac102093df84a8c93031824fad34cd95d7f83fd04574b0884545e07bee9e47f,https://docs.google.com/document/d/1lDWYct0heJztUyK5nOaDaLFRBO-Yx4PXT5URfiK3xZo/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico071,Preservation of audio-visual content: strategies and cases of FIAT/IFTA community,2024-03-14 09:48:59.500264+00:00,Workshop,Monday Workshops,Approaches to Preservation,From document to data,"FIAT/IFTA is a global network for those engaged in the preservation and exploitation of audiovisual archives. 
One of its entities is the Preservation and Migration Commission (PMC), which deals with aspects related to the preservation and migration of any audiovisual content from a long-time perspective when it comes to: Analogue and Digital Preservation Processes, Migration to Digital, Long-term Digital Preservation, Digital Restoration and Quality improvement, File Formats and Standards.
A delegation of PMC members will propose a half-a-day workshop during which we can compare our strategies and cases with other members of the iPres global digital preservation community.
Audio-visual content may be seen as any other type of document, however it has specific properties and preservation issues. First, for analogue and non-file-based formats, migration is definitely a need, a “one best chance” to do it properly while catching all possible errors, in order to produce preservation-quality content.
In the digital domain, audio-visual content requires a lot of storage, and preservation has to deal with the increasing number of file formats and with demanding access modalities when integrating archives with production and communication to the public.
Also, audio-visual content is often complemented and referenced by other types of documents (i.e. ancillary elements and data).
Once the basics and the most common strategies for migration and digital preservation are explained, a number of practical cases are going to be presented, which will offer an opportunity to interact with the audience. What would have been your choice of strategy, if it was your case? 
The discussion will cover the nature of the audio-visual SIP; how to validate it; how to meet quality expectations; how many copies are needed to ensure preservation; how to maintain data integrity; how to document provenance; etc…",,"Charles Fairall, Etienne Marchand, Laurent Boch, Marijn Daniels, Miroslav Culjat, Sunny Tan","Charles Fairall, Etienne Marchand, Laurent Boch, Marijn Daniels, Miroslav Culjat, Peter Schallauer, Sunny Tan",,,,,2024-09-16,12:00,3 hours,,kraakhuis,,,,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico072,From Burden to Benefit: Rethinking Digital Preservation at Universities,2024-03-14 10:06:15.089661+00:00,Paper,Longer on-site presentations of papers,"Governance, Resourcing, and Management for DP",Start 2 preserve,"In this paper, we aim to use the approach to the digital preservation of research data at VU Amsterdam as a case study to show the importance and benefits of organising digital preservation from a user-centric perspective. We show that awareness raising is not enough to change the existing practices, as many reasons stop individuals from reaching out to central support services despite the awareness of their existence. Instead, we strive to put the researcher at the heart of our digital preservation support services by truly listening to their needs and creating an ecosystem that supports individuals on every step of their journey and makes digital preservation a natural part of their workflow.","This paper uses the digital preservation approach at VU Amsterdam to emphasize the necessity of a user-centric perspective, arguing that merely raising awareness is insufficient as many researchers remain disengaged from support services; instead, it advocates for placing researchers at the core of these services by attentively addressing their needs and fostering an ecosystem that seamlessly integrates digital preservation into their workflows.",Lena Karvovskaya,Anna Dubov,"Lena Karvovskaya, Marcel Ras",https://ipres2024.pubpub.org/pub/s1b2dny0/,,https://doi.org/10.21428/5676bf2d.32042b9c,2024-09-17,15:30,25 minutes,https://zenodo.org/records/13896102,kraakhuis,Integrating Digital Preservation Services into Users' Workflows,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/95865e17157e40d1b3947dd335e3fe715db4d3dd8b4b4c47bc17ba880d15dd38,https://docs.google.com/document/d/1i2ShWBaYzmV40wNxtwDicNe-GQ175UUCG3d8UwGMAcM/edit#heading=h.aar4tupij1po,Creative Commons Zero (CC0-1.0)
indico074,Analysis and Development Suggestions for the NDPC Long-term Preservation of Digital Science and Technology Resources,2024-03-14 11:11:33.734363+00:00,Paper,Shorter on-site presentations of papers,"Governance, Resourcing, and Management for DP",Scaling up,"[Purpose/Significance] Since 2013, the National Digital Preservation Center (hereafter referred to as NDPC) led by the National Science and Technology Library has made important achievements. To accelerate the long-term preservation of national digital science and technology resources, it is necessary to analyze the overall long-term preservation of resources and propose some development suggestions to achieve the goal of fully implementing safe and reliable long-term preservation of important foreign digital science and technology resources in China. [Methods/Process] This paper analyzes the preserved resources of the NDPC from different dimensions, reviews the current problems and proposes development suggestions. [Results/Conclusion] The long-term preservation of digital science and technology resources involves content type, preservation scope, subject scope, etc. It is necessary to accelerate the long-term preservation of national digital science and technology resources by strengthening negotiations on resource rights, expanding preservation institutions, planning and adjusting preservation objectives, and promoting the implementation of entrusted preservation.","Since its establishment in 2013, the National Digital Preservation Center (NDPC) has made significant strides in safeguarding digital science and technology resources in China. This paper evaluates the NDPC's preserved resources, addresses existing challenges, and offers strategic recommendations to enhance long-term preservation efforts.",Xin Li,ZiYe WANG,"Xin Li, Li QIAN, Cen ZHANG, Zhenxin Wu, ZhiXiong ZHANG",https://ipres2024.pubpub.org/pub/a5r0y1di/,,https://doi.org/10.21428/5676bf2d.c3f9f6f8,2024-09-18,14:00,15 minutes,,anatomicaltheater,Advances of NDPC for Digital Preservation in China,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/70e6a71cd819497fafd29ee52614bc920a15d919219a4c54887e6c7d5a8a3bf7,https://docs.google.com/document/d/1F5cLyxQZ6P_CkzMkoLeaZt8aSUutVAQYYU9OJt6ak7M/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico075,Community engagement through cultural archiving: exploring the preconditions for a community-oriented cultural archival practice in Flanders (Belgium),2024-03-14 13:44:40.073682+00:00,Paper,Longer on-site presentations of papers,Approaches to Preservation,Start 2 preserve,"This article responds to the calls of Evangelestia-Dougherty, Williams, and Punzalan, and elaborates on Bastian’s model of cultural archiving to broaden and deepen practices of community-based archiving. Through literature and case-study research into cultural archival practices in Flanders (Belgium), this article explores the ontological conditions preceding the practice of institutional cultural archiving. Recommendations are formulated to develop a community-oriented institutional archival practice that is responsive to how cultural memory operates, to what constitutes the community record, and to the need to not only talk with communities but also to engage in connection between communities.

Three insights are presented. Firstly, the strategy of community-based archiving needs to incorporate the model of cultural archiving, emphasizing the ‘archiving’ of the community record. Secondly, a relevant and proactive institutional attitude is required that focusses through outreach on the boundary-spanning capacities of the community record, rather than on strengthening the boundary markers. Finally, an institutional cultural archival praxis is perceived as a laboratory for discussing perspectives on the making of memory and meaning, with a focus on intercommunity and intercultural recognition. Since these preconditions for implementing such a praxis are not yet met in the field, this article refrains from concrete techno-practical discussions but encourages further research and practical experiments.

The author of this article is employed at a local public archival institution in a small to medium-sized city in the Flemish region of Belgium. Additionally, the author is affiliated with the University of Antwerp, where he works on a dissertation on the role of archives in society. From the positioning that public institutional archival institutions have a societal responsibility, the article focuses on the practical implementation of the calls made by Evangelestia-Dougherty, Williams, and Punzalan","This article addresses the requests of Evangelestia-Dougherty, Williams, and Punzalan by expanding Bastian’s cultural archiving framework for community-based practices. Through literature and case studies from Flanders, it examines the foundational aspects of institutional cultural archiving and proposes a community-focused approach that fosters connections among communities. While concrete methods are not discussed due to unmet preconditions, the author advocates for further research and experimentation in this area.",Geerd De Ceulaerde,Geerd De Ceulaerde,,https://ipres2024.pubpub.org/pub/gdxzwi3z/,,https://doi.org/10.21428/5676bf2d.49a8d26d,2024-09-17,16:00,25 minutes,https://zenodo.org/records/13767858,concerthall,Applying Digital Preservation Best Practice in New Contexts,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/e14395c2e38544b884534e3ad374a2f5eb92a4bb791941e1ba0222a6c969343c,https://docs.google.com/document/d/1RnqtK66DuBgEZBSuTMC7aU8i32AMZQUp5X-Qi1AQdNg/edit#heading=h.aar4tupij1po,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico076,Getting good at email acquisition: Building a guide for the practice,2024-03-14 15:22:30.756727+00:00,Workshop,Monday Workshops,Standards and Models,Scaling up,"Successful preservation of any content is contingent on obtaining the material in the first place, and - ideally - doing so in a way that fits your organization’s long-term usability goals. Email collections of historic value present specific acquisition challenges to collecting institutions, raising a host of technical, legal, and ethical questions. While the tools and workflows for collecting email have steadily matured in recent years, there is still little guidance on how to acquire email collections in the first place. 

An independent group of archivists and records managers representing leading university libraries, international centers for email research, corporate archives, and cultural heritage organizations (with members located across the US, Canada, and the UK) formed in 2021 to discuss these issues and have been compiling good practice recommendations into a guide for the benefit of other practitioners. This guide will be released as a draft in 2024 for community feedback.

This workshop will offer participants the opportunity to connect with peers and critically evaluate the draft release of the email acquisition good practice guide. Attendees should review the draft prior to attending the workshop and arrive prepared to discuss how the report corresponds with their experience of working with email collections and its prospective usefulness for future accessioning of email. 

The workshop will begin with a brief overview of the guide, its background, and a high-level summary of its recommendations. Attendees will then circulate to stations based on specific sections of the guide and brainstorm what works well and what could be improved. Remote attendees will hold discussions in a parallel set of Zoom breakout rooms correlating to each section of the guide. At the end of the small group discussions, there will be a large group recap with breakout groups reporting their takeaways in a shared Google Document. Following the conference, we will share the revised report with the workshop participants and encourage their continued involvement with refining, completing and disseminating the resulting “good practices” document.",,"Nathan Gerth, Sally DeBauche",Sally DeBauche,"David Kirsch, Nathan Gerth, Patricia Patterson",,,,2024-09-16,14:00,2 hours,,loveling,,,,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico077,Training AI Models From Within A Digital Preservation System: Ensuring Machine Learning approaches can learn from users,2024-03-14 16:58:20.750955+00:00,Paper,Shorter on-site presentations of papers,Information Technology for DP,From document to data,"Artificial Intelligence and Machine Learning tools are highly dependent on the datasets that are used to train them. Building datasets for general purpose usage is something that Commercial-Off-The-Shelf tools and services have done well, but they are not necessarily tuned to domain specific needs. Creating custom datasets for this purpose is often possible with these services, but is often complex or imposes complex requirements on an organization seeking to do it.
This paper describes work undertaken to allow the refinement of datasets and re-training of custom models to be performed through simplified user interfaces that can be directly embedded within an existing digital preservation system.","Artificial Intelligence and Machine Learning rely heavily on the quality of their training datasets. This paper discusses the development of user-friendly interfaces for refining datasets and retraining models, which can be integrated into existing digital preservation systems.",Richard Smith,Jack O'Sullivan,"David Clipsham, Richard Smith",https://ipres2024.pubpub.org/pub/bbnr76d6/,,https://doi.org/10.21428/5676bf2d.a272edc7,2024-09-17,11:50,15 minutes,https://zenodo.org/records/13754318,anatomicaltheater,Tools for Collaboration in Digital Preservation,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/33b18535dd5843ffb8f79c836fadf7895bec43f73c7f4e4682ff38249050ad85,https://docs.google.com/document/d/1q7uNrEVGePdeRV2G9qDrO4AfNgIr2YY_xpKU99e61Yo/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico078,OPEX and PAX: A transfer format for digital preservation content,2024-03-14 17:03:34.677923+00:00,Paper,Shorter on-site presentations of papers,Metadata Standards and Implementation,From document to data,"There are several existing standards for transferring content into and out of Digital Preservation systems, whether for ingest, access or system migration. These standards however have shortfalls relating to their ability to handle migrated digital content, complex digital objects, and deep and wide data structures, and are often highly prescriptive, creating a high barrier to usage.

The paper describes two formats to better align with modern, flexible, transfer and ingest use cases, the Open Preservation Exchange (OPEX) format, a flexible way of structuring content for modular transfer; and the Preservation Asset Exchange (PAX) format, a vendor-independent format for multi-part or preserved digital assets. These allow producers of new content (e.g. digitization providers), preservation systems (which produce and consume content) and consumers to transfer data containing the information relevant to their use case, including complex and preserved content.
Keywords – Content, Transfer, Data model, Complex objects","Existing standards for transferring content in Digital Preservation systems face limitations with complex digital objects and data structures, often making them difficult to use. This paper introduces two new formats, OPEX and PAX, designed for flexible content transfer that accommodates varied use cases, including complex and preserved assets.",Richard Smith,"Jonathan Tilbury, Richard Smith",,https://ipres2024.pubpub.org/pub/ejkcz1hj/,,https://doi.org/10.21428/5676bf2d.86b224eb,2024-09-19,09:30,15 minutes,https://zenodo.org/records/13754289,concerthall,Working with Legacy Systems or Data,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/37e24c918bf84b0fad25a0836ae00456572f987242854f37936d92e33fe9f149,https://docs.google.com/document/d/185lG4aMfAMXgyb_bH06C6dzEcfuLj62A540mo_Uibos/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico079,Making the Move: Hands-on migrations to Fedora 6.x,2024-03-14 17:54:46.297985+00:00,Workshop,Monday Workshops,Approaches to Preservation,Scaling up,"Fedora is the open-source, digital repository system underpinning a wide variety of digital libraries and archives. It is designed to store, manage, and preserve digital content and is used by over 300 institutions around the world. Fedora has seen iterations over its 20+ year existence, but its core principles, focused on long-term digital preservation, have remained the same. Fedora is synonymous with stability and has long-remained a household name in the digital repository landscape.

The most recent major version of Fedora, Fedora 6.x, was released 3 years ago and there has been increasing migration efforts toward 6.x from users in outdated and unsupported older versions of the software. Fedora 6.x has sparked renewed interest in Fedora implementers because of the choice to incorporate the Oxford Common File Layout (OCFL) within the persistence layer. Fedora 6.x is being well received, and new and unique use cases are being discovered regularly as the community continues to expand.

The Fedora program is committed to supporting all migration efforts to 6.x. This workshop will provide a unique opportunity for attendees to “bring their own data” and conduct a live migration with the help and assistance of the Fedora technical team. Facilitators will work alongside participants to provide suggestions, offer best practices, gather use cases, and troubleshoot in real-time. While the workshop will be focused on the Fedora migration, if time permits (and depending on the complexity of the use cases), facilitators may be able to assist with configurations with common front-end solutions like Islandora and some Samvera applications. 

Workshop goals and objectives:
Introduce and familiarize participants with Fedora migration tools and processes.
Provide hands-on migration assistance with real-word data (or sample data if required).
Execute a migration to Fedora 6.x using available tooling and documentation.
Provide attendees with detailed information on available support channels, documentation and where and how to seek assistance beyond the workshop.

Proposed Workshop Structure:
1. Brief overview of the new features included in Fedora 6.x.
2. Introduction to Fedora 6.x migration tooling and documentation.
3. Open discussion about migration needs, use cases, barriers etc.
4. Facilitation of hands-on Fedora migrations.",,Dan Field,"Arran Griffith, Dan Field",,,,,2024-09-16,11:00,2 hours,,loveling,,,,Creative Commons Attribution 4.0 (CC-BY-4.0)
indico080,Validation Anonymous: A JHOVE Error Message Helpspace,2024-03-14 18:00:48.888261+00:00,Workshop,Monday Workshops,Information Technology for DP,Scaling up,"JHOVE is one of the most widely used tools in digital preservation. Those familiar, will know the number of error messages it reports. Currently, JHOVE supports different types of messages, ranging from error messages for validation failures which can indicate a problem with the file, to info messages covering everything else, e.g. too many PDF fonts for reporting. Even validation errors are varied, especially for complex file formats. In this workshop, the presenters will lend their considerable JHOVE experience to help users to analyse JHOVE error messages and diagnose problems in affected files.

The session targets beginners and practitioners. No experience in file format analysis is required of attendees. Before the workshop, we will circulate installation instructions and ask participants to bring examples of problematic files. This will allow participants to work with data and problems that feel familiar to them.

We will begin with a twenty-minute introductory session to JHOVE and its standard modules. We will then discuss the error message reports in more detail: how to interpret JHOVE messages and demonstrate the use of standard tools, like hex viewers/editors, file format standards and other file format analysis tools to find the location of errors in problematic files.  

The second part of the workshop will be hands-on, dividing the participants into small breakout groups. We will employ the techniques covered earlier to try to understand real-world error messages/file problems, using their own data or data provided by the facilitators. The presenters will moderate and assist up to three groups each, including online breakout rooms, during which we plan to engage both remote and onsite participants. 

There will then be a twenty-minute session to discuss the groups’ experiences. Attendees will be encouraged to report their successes and failures, as well as provide feedback as to how JHOVE reporting might be improved. We will conclude with a ten-minute session to debrief. While this can comfortably fit in an hour and a half, it could also be extended if needed. 

The minimum number of attendees would be twelve to fifteen people, but we can accommodate up to forty for this session.",,"Carl Wilson, Georgia Moppett, Micky Lindlar","Carl Wilson, Micky Lindlar",Georgia Moppett,,,,2024-09-16,11:00,2 hours,,loveling,,,,Creative Commons Attribution Share-Alike 4.0 (CC-BY-SA-4.0)
indico081,"The Potential of Cited Executable State for Software Object Access, Validation, and Research: A Preview of the GISST System",2024-03-14 18:45:32.051984+00:00,Paper,Remote presenters track,Managing Access,From document to data,"This paper will examine the potential for retrieving and indexing saved executable states and input replays through web browser integration. It explores the emerging possibilities and limitations of executable citation through a discussion of the current development of the Game and Interactive Software Scholarship Toolkit (GISST). GISST is designed to allow for users to load emulators locally in a web browser and then record and retrieve both emulated system states and input recordings of system interactions. These references can then be embedded as links within scholarly works and online documents, or directed executed as objects running withing standard HTML elements. The goal of this work is to elaborate on how executable citation can enable easier access to emulation for both researchers and practitioners, along with how these types of references can enable new forms of scholarship and clarify aspects of software object description relative to emulated contexts. Keywords – emulation, citation, computational state, software studies, software preservation","This paper explores the potential for retrieving and indexing executable states and input replays through web browser integration, focusing on the Game and Interactive Software Scholarship Toolkit (GISST). By facilitating local emulator loading and enabling the embedding of system interactions as references in scholarly works, it aims to enhance access to emulation and foster new forms of scholarship in software studies.",Eric Kaltman,"Eric Kaltman, Joseph C. Osborn",,https://ipres2024.pubpub.org/pub/kj532qy1/,,https://doi.org/10.21428/5676bf2d.b1b7d24e,2024-09-19,14:00,15 minutes,,suite,From Document to Data,https://www.archief.vlaanderen.be/archief/records/dossiers/5acb210228ce4315ae650812d056a482329eb83ed2dc42398a51505dc153be81/documents/227a2716e87940519b21037d2c2726849f6e82d457d340e6926ae7ec5534600c,https://docs.google.com/document/d/1TyATX9tJYvyL0Wx572QwHZp_tsNIPyhOnbkEfnzDWsg/edit#heading=h.aar4tupij1po,Creative Commons Attribution 4.0 (CC-BY-4.0)
